Songs & Artist,Streams,Daily
Lauv - I Like Me Better,1836019716,461619
"Tyler, The Creator - See You Again",1822379391,2002703
Twenty One Pilots - Ride,1821537537,643292
Mariah Carey - All I Want for Christmas Is You,1819599508,263131
David Guetta - I'm Good (Blue),1818806137,1309766
WALK THE MOON - Shut Up and Dance,1818525910,1389151
Sia - Cheap Thrills,1816755550,361118
Sia - Chandelier,1812363965,810500
The Weeknd - I Feel It Coming,1811808940,536226
Coolio - Gangsta's Paradise,1811411229,1202607
The Weeknd - Can't Feel My Face,1811295571,556354
J Balvin - LA CANCIÓN,1810059940,942056
Dean Lewis - Be Alright,1809868485,640260
Arctic Monkeys - 505,1808409626,1612672
Ed Sheeran - Bad Habits,1807981092,415265
Eminem - Mockingbird,1807432070,995704
Arctic Monkeys - Why'd You Only Call Me When You're High?,1802690346,1023998
Luis Fonsi - Despacito,1800662716,555695
Maroon 5 - Maps,1797284924,1224615
Radiohead - Creep,1794349416,1424032
benny blanco - Eastside,1793624392,588767
Rihanna - We Found Love,1792572567,1110136
Alec Benjamin - Let Me Down Slowly,1786338746,614892
"Justin Timberlake - CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",1785519223,422237
Fleetwood Mac - Dreams,1785422732,1166441
Tears For Fears - Everybody Wants To Rule The World,1783980738,1115910
Shakira - Hips Don't Lie,1779535294,1480682
Kendrick Lamar - All The Stars,1776077972,1279419
Conan Gray - Heather,1774504885,931443
"Bizarrap - Quevedo: Bzrp Music Sessions, Vol. 52",1769301862,661664
ZAYN - Dusk Till Dawn,1768869508,844986
OMI - Cheerleader (Felix Jaehn Remix),1755204019,852499
The White Stripes - Seven Nation Army,1755032069,901214
Tame Impala - The Less I Know The Better,1749093856,975458
Travis Scott - HIGHEST IN THE ROOM,1748280768,1364955
OneRepublic - I Ain't Worried,1746634026,996673
Harry Styles - Adore You,1742267375,458807
Luis Fonsi - Despacito,1739696575,246341
Creedence Clearwater Revival - Have You Ever Seen The Rain,1738495762,1322049
Christina Perri - a thousand years,1738414797,787185
"Earth, Wind & Fire - September",1735938998,1777196
The Weeknd - Earned It (Fifty Shades Of Grey),1734170659,694903
Post Malone - Wow.,1732073278,385255
Don Omar - Danza Kuduro,1728118963,1420957
Ava Max - Sweet but Psycho,1726792559,499453
Adele - Set Fire to the Rain,1723054067,1279745
ZAYN - I Don’t Wanna Live Forever (Fifty Shades Darker),1722825749,592665
David Guetta - Titanium,1720185170,846802
XXXTENTACION - Fuck Love,1716484443,1000411
One Direction - Night Changes,1710448066,1587755
Powfu - death bed (coffee for your head),1709349322,488636
Olivia Rodrigo - deja vu,1704326980,892114
Justin Bieber - Ghost,1700853908,954657
AC/DC - Highway to Hell,1700831032,844246
Queen - Under Pressure,1698396151,839787
Bon Jovi - Livin' On A Prayer,1697823891,1136288
Måneskin - Beggin',1696715794,979236
Miley Cyrus - Party In The U.S.A.,1694868043,1070718
Drake - Passionfruit,1690329391,564426
Eagles - Hotel California,1689768488,868595
Doja Cat - Woman,1689606851,621317
Juice WRLD - All Girls Are The Same,1689205685,778793
Billie Eilish - everything i wanted,1686423269,633656
DNCE - Cake By The Ocean,1684299898,543917
Ruth B. - Dandelions,1682984088,1402891
The Starlite Singers - Party In The U.S.A.,1681456919,1095366
MUSIC LAB JPN - Cake By The Ocean,1681217835,529390
Keane - Somewhere Only We Know,1680171506,1173736
Future - Mask Off,1678131604,798700
Maroon 5 - Girls Like You,1677729444,316375
Childish Gambino - Redbone,1672980299,540473
Post Malone - I Fall Apart,1668473399,266325
Olivia Rodrigo - traitor,1667873446,1019811
Marshmello - Silence,1666980842,656868
DaBaby - ROCKSTAR,1663988786,220116
Taylor Swift - Anti-Hero,1663786298,786091
Justin Bieber - Peaches,1662441832,435491
Cardi B - I Like It,1661239166,486390
XXXTENTACION - Everybody Dies In Their Nightmares,1660165543,582641
Panic! At The Disco - High Hopes,1657460648,438574
Trevor Daniel - Falling,1655619434,510899
Justin Bieber - What Do You Mean?,1655433299,471555
AC/DC - Back In Black,1652115885,1146153
Bastille - Pompeii,1651637367,615784
The Weeknd - Save Your Tears,1641748842,751787
Coldplay - A Sky Full of Stars,1641707174,1088909
Ed Sheeran - Shivers,1641091438,576659
Rihanna - Umbrella,1636910762,878438
Sam Smith - Unholy,1631228677,706986
Dua Lipa - IDGAF,1629675467,336216
Eminem - Love The Way You Lie,1629560987,787222
Offset - Ric Flair Drip,1625106767,1245182
"Train - Hey, Soul Sister",1624443268,992714
Beyoncé - Halo,1615523802,531984
Calvin Harris - Summer,1614000617,1031491
AC/DC - Thunderstruck,1608363290,1059412
DJ Snake - Taki Taki,1605231473,377998
White Noise Baby Sleep - Clean White Noise,1599824641,309520
50 Cent - In Da Club,1596825640,907381
Harry Styles - Sign of the Times,1595955695,549052
Adele - Hello,1593897824,445351
Khalid - Young Dumb & Broke,1592320911,612890
Kendrick Lamar - Money Trees,1590110223,982781
Lana Del Rey - Summertime Sadness,1589975467,1288243
Major Lazer - Cold Water,1587716278,419538
MAGIC! - Rude,1587114855,1021257
Clean Bandit - Rockabye,1584107293,511887
Imagine Dragons - Enemy,1582493803,697745
Bad Bunny - Tití Me Preguntó,1581585881,555823
The Walters - I Love You So,1581515206,1632811
Imagine Dragons - Enemy feat. J.I.D. (from the series Arcane League of Legends),1577515671,835085
Anne-Marie - 2002,1573896976,406715
Pitbull - Timber,1571155207,808083
Ellie Goulding - Love Me Like You Do,1566773038,319458
Rihanna - Love On The Brain,1565308689,893857
Maroon 5 - Moves Like Jagger,1563824793,1061186
Rihanna - Needed Me,1557730768,747244
Farruko - Pepas,1555082997,527762
Coldplay - Fix You,1551990399,845817
Kings of Leon - Sex on Fire,1550462532,1309023
Lil Nas X - Old Town Road,1549228839,206616
Ariana Grande - One Last Time,1549161942,781092
The Neighbourhood - Daddy Issues,1547251781,1223863
Lil Baby - Drip Too Hard (Lil Baby & Gunna),1544841524,534187
Backstreet Boys - I Want It That Way,1544056252,1153860
Post Malone - Psycho,1543241731,201518
The Script - Hall of Fame,1542098419,1837351
Zedd - The Middle,1540659164,393570
Taylor Swift - Lover,1539880718,1035606
Milky Chance - Stolen Dance,1538881994,792189
KAROL G - Tusa,1534089441,330337
Eminem - Godzilla,1529403584,565521
XXXTENTACION - Hope,1525632303,774140
Wham! - Last Christmas,1521484332,313118
Clean Bandit - Symphony,1520984864,892207
J Balvin - Mi Gente,1520780894,408067
Katy Perry - Dark Horse,1520335248,876253
Tate McRae - you broke me first,1519955294,793822
Black Eyed Peas - I Gotta Feeling,1519052999,1040439
Zara Larsson - Lush Life,1516383293,624542
Billie Eilish - ocean eyes,1516052339,1004008
NF - Let You Down,1509746527,302155
Maroon 5 - She Will Be Loved,1509373916,823885
Gorillaz - Feel Good Inc.,1503556265,827089
Bad Bunny - Ojitos Lindos,1502448792,626347
Bad Bunny - Callaita,1501878931,430130
Bruno Mars - 24K Magic,1500159446,885930
Travis Scott - BUTTERFLY EFFECT,1499161291,772987
Arizona Zervas - ROXANNE,1498436268,214802
Martin Garrix - In the Name of Love,1498139856,621663
JAY-Z - Ni**as In Paris,1497710432,551524
Dynoro - In My Mind,1497655248,639976
Coldplay - Hymn for the Weekend,1496256559,1056203
Rihanna - Diamonds,1495602727,665444
Red Hot Chili Peppers - Californication,1495290583,725547
Dr. Dre - Still D.R.E.,1494699230,665899
"Snoop Dogg - Young, Wild & Free (feta. Bruno Mars)",1490009433,498058
XXXTENTACION - Look At Me!,1488817080,496547
Carly Rae Jepsen - Call Me Maybe,1487449356,913965
Metallica - Enter Sandman (Remastered),1484015064,928101
XXXTENTACION - Revenge,1483803348,1080235
Ariana Grande - positions,1483526843,427336
Rema - Calm Down,1483474961,873674
Creedence Clearwater Revival - Fortunate Son,1482712985,944206
Daniel Caesar - Best Part,1482298917,1380545
Taylor Swift - Shake It Off,1479530912,604852
Miguel - Sure Thing,1478984213,1522566
Eurythmics - Sweet Dreams (Are Made of This),1474459530,1941478
Ariana Grande - Side To Side,1473269806,468617
Red Hot Chili Peppers - Under the Bridge,1468778207,647291
Kygo - It Ain't Me,1467829577,403331
Alessia Cara - Scars To Your Beautiful,1465571385,404634
Marshmello - FRIENDS,1464346945,267574
Bruno Mars - Talking to the Moon,1463578550,1530556
Fifth Harmony - Work from Home,1459794900,318731
Frank Ocean - Pink + White,1459367937,1499410
Kanye West - Stronger,1455381479,461810
Cigarettes After Sex - Apocalypse,1454086198,1673028
Avicii - Waiting For Love,1453530644,525537
Jonas Brothers - Sucker,1449234318,329013
System Of A Down - Chop Suey!,1448098793,748790
Tate McRae - greedy,1444330284,1496195
Rihanna - Work,1441312197,377503
Marvin Gaye - Ain't No Mountain High Enough,1440956499,1034253
R.E.M. - Losing My Religion,1440136246,919763
Maroon 5 - Animals,1440004491,857563
Lil Tecca - Ransom,1439747059,919243
Unknown - Ain't No Mountain High Enough,1437559891,1102780
Bad Bunny - Yonaguni,1435729365,293908
Steve Lacy - Dark Red,1434321482,1231475
Ariana Grande - Into You,1432909704,633915
Pharrell Williams - Happy,1431802574,519260
"gnash - i hate u, i love u",1430541283,232405
Outkast - Hey Ya!,1428451440,783099
Rauw Alejandro - Todo De Ti,1426095728,803887
ABBA - Dancing Queen,1423354735,1224403
Kanye West - Heartless,1422758849,988179
Metro Boomin - Creepin',1422701593,831963
Taylor Swift - cardigan,1421155316,1072449
Ed Sheeran - Beautiful People,1420532361,200594
Kendrick Lamar - LOVE. FEAT. ZACARI.,1420362903,664512
JHAYCO - No Me Conoce,1418784717,702921
P!nk - Just Give Me a Reason,1418099749,1145938
USHER - Yeah!,1417409087,1415472
The Beatles - Here Comes The Sun,1415926132,863247
MKTO - Classic,1413719106,461443
Regard - Ride It,1413397807,572531
Khalid - Better,1413335489,566728
Bebe Rexha - Meant to Be,1410259116,220623
Drake - In My Feelings,1408315894,153966
Khalid - Location,1404032647,417618
Shawn Mendes - Mercy,1397395634,458485
Daddy Yankee - Con Calma,1397058803,409881
Sam Smith - Dancing With A Stranger,1396734532,502181
Axwell /\ Ingrosso - More Than You Know,1396656820,396285
Sia - Unstoppable,1395297712,1153444
Billie Eilish - Happier Than Ever,1394078140,682106
XXXTENTACION - changes,1393875102,268764
Tyga - Taste,1390824030,352028
Lady Gaga - Poker Face,1390695573,1003295
Bruno Mars - Grenade,1389512413,767513
Rihanna - Stay,1388561486,731470
Unknown - Time Of Our Lives,1387355809,1122004
Pitbull - Time of Our Lives,1387355809,1122004
Selena Gomez - Wolves,1386534228,260547
Clean Bandit - Rather Be,1386006794,706749
Jessie J - Bang Bang,1383254950,476252
Lana Del Rey - Young And Beautiful,1382378674,1221820
Snow Patrol - Chasing Cars,1380926150,539301
Ed Sheeran - Castle on the Hill,1380334248,463849
Britney Spears - Toxic,1379429533,1205670
Gym Class Heroes - Stereo Hearts,1379282542,578028
Bruno Mars - Leave The Door Open,1377466079,552685
Bryson Tiller - Don't,1375556175,1110496
Nirvana - Come As You Are,1375005912,874221
Coldplay - Paradise,1374140183,627030
Queen - We Will Rock You,1367569431,757325
Drake - Hotline Bling,1367022103,274442
Survivor - Eye of the Tiger,1363158891,886904
Portugal. The Man - Feel It Still,1362598577,423200
Cardi B - WAP,1362354451,339336
One Direction - What Makes You Beautiful,1361819173,810292
ZAYN - PILLOWTALK,1361737011,628348
Internet Money - Lemonade,1361426226,461348
Lynyrd Skynyrd - Sweet Home Alabama,1361313956,634526
Bad Bunny - Efecto,1360865224,555962
Benson Boone - Beautiful Things,1360463954,4241882
Capital Cities - Safe and Sound,1360245855,644409
One Direction - Story of My Life,1360174072,847660
Ariana Grande - no tears left to cry,1359090483,235352
Chris Brown - Under The Influence,1359083273,1257738
Lady Gaga - Always Remember Us This Way,1358242471,898385
Ed Sheeran - Shivers,1356315091,
Logic - 1-800-273-8255,1352987823,214432
Bad Bunny - MIA,1351807874,259584
The Lumineers - Ho Hey,1351452613,643049
Maluma - Hawái,1351421665,627900
The Lumineers - Ophelia,1349251165,588795
Ed Sheeran - Happier,1348492627,245794
Ed Sheeran - Galway Girl,1348054824,313103
"G-Eazy - Me, Myself & I",1344945126,699817
Adele - When We Were Young,1342833416,611306
Juice WRLD - Robbery,1342597407,386377
Lost Frequencies - Where Are You Now,1342305911,1139763
Joji - SLOW DANCING IN THE DARK,1341048596,473622
Major Lazer - Light It Up,1340904047,422542
Imagine Dragons - Bones,1338648068,942486
Joji - Glimpse of Us,1336313983,991231
Imagine Dragons - Whatever It Takes,1330537665,629770
Lil Mosey - Blueberry Faygo,1329708814,330799
J. Cole - MIDDLE CHILD,1327862767,396528
Coldplay - My Universe,1327628676,590519
Sabrina Carpenter - Espresso,1316210474,5709725
A$AP Rocky - Praise The Lord (Da Shine),1315277022,451185
Lady Gaga - Bad Romance,1311036384,769504
Drake - Nice For What,1306414167,236177
Pitbull - Give Me Everything,1303828752,1641663
Red Hot Chili Peppers - Can't Stop,1303241958,1254262
Martin Garrix - Scared to Be Lonely,1301295396,546168
Beyoncé - Crazy In Love,1300508141,1288780
J. Cole - Wet Dreamz,1298934288,538552
Post Malone - Goodbyes,1297767602,262464
Kesha - TiK ToK,1294611303,1195432
blackbear - hot girl bummer,1293537324,237604
Macklemore & Ryan Lewis - Thrift Shop,1291261433,643970
Unknown - Thrift Shop,1290617463,605756
BTS - Butter,1289370484,276464
Jimin - Like Crazy,1288246596,313383
"The Rolling Stones - Paint It, Black",1287722563,858355
Whitney Houston - I Wanna Dance with Somebody (Who Loves Me),1287460210,700426
Eslabon Armado - Ella Baila Sola,1286070366,568440
KAROL G - PROVENZA,1285897866,966346
Imagine Dragons - Natural,1283413065,509408
Bryan Adams - Summer Of '69,1283396654,702664
The Cranberries - Zombie,1282611374,771807
Nelly Furtado - Promiscuous,1279663526,756040
Masked Wolf - Astronaut In The Ocean,1279207946,290434
DJ Khaled - I'm the One,1279069067,208892
AC/DC - You Shook Me All Night Long,1279024852,1241851
Taylor Swift - Style,1275999844,497318
Harry Styles - Falling,1275200342,471606
Calum Scott - Dancing On My Own,1274227784,420573
Kate Bush - Running Up That Hill (A Deal With God),1272723432,949591
Robin Schulz - Sugar,1269974545,390720
d4vd - Romantic Homicide,1269731139,1208354
Dire Straits - Sultans of Swing,1268487220,770354
Lil Peep - Star Shopping,1268071365,704952
Lorde - Royals,1267469229,274014
Future - Life Is Good,1264384824,220226
Foo Fighters - Everlong,1260515891,813309
Selena Gomez - Lose You To Love Me,1256414930,305230
The Fray - How to Save a Life,1255894137,460375
Cyndi Lauper - Girls Just Want to Have Fun,1254670589,955383
David Kushner - Daylight,1252412824,1106163
Guns N' Roses - Welcome To The Jungle,1249354683,711036
Zedd - Stay,1248385083,219207
Taylor Swift - august,1243764603,1298139
Calvin Harris - Outside,1240594356,1084218
Duncan Laurence - Arcade,1240587128,508250
Dua Lipa - Break My Heart,1240311447,477611
Maroon 5 - What Lovers Do,1240288647,325486
Joel Corry - Head & Heart,1239084201,321863
Katy Perry - Last Friday Night (T.G.I.F.),1238713219,1123770
Lil Peep - Falling Down,1238661434,964211
The Weeknd - One Of The Girls,1237909371,2985446
Julia Michaels - Issues,1237737345,230342
Fall Out Boy - Centuries,1236779561,559226
George Ezra - Budapest,1236634322,818795
Loud Luxury - Body,1236535528,473782
LISA - MONEY,1236117139,342257
Calvin Harris - How Deep Is Your Love,1235058171,649657
Sean Paul - No Lie,1231224416,680747
Tiësto - The Business,1230797602,290108
Kali Uchis - telepatía,1229562186,714089
Doja Cat - Say So,1226860998,259402
James Bay - Let It Go,1225943065,302964
Metallica - Nothing Else Matters (Remastered),1224418459,648157
Evanescence - Bring Me To Life,1223891054,907238
Meek Mill - Going Bad,1223214700,232023
Giveon - Heartbreak Anniversary,1221410557,780414
Fetty Wap - Trap Queen,1220304174,384136
Taylor Swift - Don’t Blame Me,1216808688,837279
The Chainsmokers - Paris,1215029717,258665
Doja Cat - Need to Know,1213563957,344808
Olivia Rodrigo - happier,1213181971,728953
Kendrick Lamar - DNA.,1212071759,459337
Anuel AA - China,1211326424,323185
Katy Perry - Roar,1210624544,641654
Justin Bieber - Intentions,1210125487,294711
DJ Khaled - Wild Thoughts,1209768235,366117
Kanye West - Gold Digger,1208828384,519242
The Notorious B.I.G. - Hypnotize,1208055583,892728
Taylor Swift - Look What You Made Me Do,1207381259,431873
Hailee Steinfeld - Starving,1207130745,128973
SZA - Good Days,1205761403,901037
Michael Jackson - Beat It,1203285469,755875
Nio Garcia - Te Boté,1201473503,233011
Aerosmith - Dream On,1200897042,569360
fun. - We Are Young,1200593105,739056
JVKE - golden hour,1200262102,734850
Mitski - My Love Mine All Mine,1199787148,1932683
Papa Roach - Last Resort,1198974790,548097
Nicki Minaj - Starships,1198668066,793263
Desiigner - Panda,1196572209,155988
BTS - Boy With Luv (Feat. Halsey),1195023538,263024
Kanye West - Father Stretch My Hands Pt. 1,1193624842,792249
Ice Cube - It Was A Good Day,1193370283,608698
KALEO - Way down We Go,1191684115,734424
Ariana Grande - Dangerous Woman,1191392369,726486
Rihanna - Only Girl (In The World),1191271576,911953
blink-182 - All The Small Things,1190125174,632653
JP Saxe - If the World Was Ending,1186470937,495335
Bon Jovi - You Give Love A Bad Name,1185021639,743376
Beach House - Space Song,1181911377,821707
Steve Lacy - Bad Habit,1180940384,987840
Lewis Capaldi - Bruises,1180712750,471130
Kodaline - All I Want,1180499044,408398
Surf Curse - Freaks,1179853403,1149335
Maroon 5 - This Love,1179382285,973690
Doja Cat - Paint The Town Red,1178263664,857445
Van Morrison - Brown Eyed Girl,1178142466,2350002
One Direction - Drag Me Down,1178027728,356965
Elton John - I'm Still Standing,1177964679,880717
Bad Bunny - Moscow Mule,1176989921,537483
Pedro Capó - Calma,1176547505,222616
Jonas Blue - Fast Car,1176296665,296685
Fleetwood Mac - The Chain,1175905601,595016
Eminem - Stan,1175784256,431894
Noah Kahan - Stick Season,1174338287,1801341
Demi Lovato - Sorry Not Sorry,1174012019,178420
Kungs - This Girl (Kungs Vs. Cookin' On 3 Burners),1173531406,494953
Jay Wheeler - La Curiosidad,1173445754,776032
21 Savage - Bank Account,1173333911,209703
Elley Duhé - MIDDLE OF THE NIGHT,1172456210,677936
Ben E. King - Stand by Me,1171711318,735879
Pop Smoke - What You Know Bout Love,1171693513,405745
Rihanna - FourFiveSeconds,1171411063,326269
The Weeknd - Stargirl Interlude,1170012358,1173148
Post Malone - White Iverson,1164263476,246201
"Elton John - Rocket Man (I Think It's Going To Be A Long, Long Time)",1163764169,622648
Black Sabbath - Paranoid,1163397622,673294
Lil Wayne - Sucker for Pain,1161659878,227312
Ariana Grande - Stuck with U,1161111557,402089
Dream Supplier - Clean Baby Sleep White Noise (Loopable),1158888634,2927128
SZA - Snooze,1158787734,1028400
Kanye West - Flashing Lights,1157869080,792819
Ali Gatie - It's You,1157181013,259019
Adele - Make You Feel My Love,1157127248,504320
TLC - No Scrubs,1156716798,1067271
GAYLE - abcdefu,1155952063,256531
Rudimental - These Days,1155527577,261228
Calvin Harris - Feels,1154499571,281714
Nickelback - How You Remind Me,1152126117,1068848
Spice Girls - Wannabe,1152030869,737510
Topic - Breaking Me,1148851600,201734
Lil Baby - Yes Indeed,1148768089,376326
Swedish House Mafia - Don't You Worry Child,1148716105,465293
Outkast - Ms. Jackson,1147268000,756567
FloyyMenor - Gata Only,1147181063,2996560
Green Day - Basket Case,1147179726,655523
Smash Mouth - All Star,1146557283,431622
Kygo - Firestone,1145432935,461059
Drake - Nonstop,1145080004,226386
Alicia Keys - If I Ain't Got You,1145058734,1086430
Olivia Rodrigo - favorite crime,1144571726,773039
d4vd - Here With Me,1144560098,1031701
Pop Smoke - For The Night,1144259537,424007
Gnarls Barkley - Crazy,1143766652,486858
Lady Gaga - Just Dance,1143532768,734478
M83 - Midnight City,1142509610,589224
Daft Punk - Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],1140071070,779938
Jawsh 685 - Savage Love (Laxed,1137392062,171068
Jason Derulo - Swalla,1137049931,204592
Katy Perry - Firework,1134969116,807573
Frank Ocean - Lost,1133234312,686119
BØRNS - Electric Love,1132446098,355764
Lost Frequencies - Are You With Me,1130358527,632861
Billie Eilish - idontwannabeyouanymore,1129996744,362632
Yng Lvcas - La Bebe,1129781494,1048933
Måneskin - I WANNA BE YOUR SLAVE,1129170270,853577
WILLOW - Wait a Minute!,1128661237,465890
Akon - Smack That,1128043375,1021295
Rauw Alejandro - Desesperados,1127853201,1157293
The Clash - Should I Stay or Should I Go,1126426511,840482
Teddy Swims - Lose Control,1126280439,7082537
Rihanna - S&M,1125267634,808341
Guns N' Roses - Paradise City,1124588361,525041
Flo Rida - Low,1124281997,632943
Unknown - La Bebe,1124124392,848507
Taio Cruz - Dynamite,1123901696,570033
Skrillex - Where Are Ü Now,1123510069,156921
Jack Ü - Where Are Ü Now,1123353148,177568
Plain White T's - Hey There Delilah,1122338762,328812
Rosa Linn - SNAP,1121094102,588343
Lilly Wood and The Prick - Prayer in C,1120324423,415284
Natasha Bedingfield - Unwritten,1119392587,1775434
